Name,Description,Latitude,Longitude,Destination_Code,Destination_Name,Flight_ID,Flight_Date,Flight_Time,Weekday,Airline,Collected_At
RF316 (에어로케이항공),"인천→Kansai (Osaka)
항공사: 에어로케이항공
요일: 금
출발: 06:20
날짜: 2026-05-15",34.432,135.2304,KIX,Kansai (Osaka),RF316,20260515,06:20,금,에어로케이항공,2026-05-15 14:39:33
7C1401 (제주항공),"인천→Fukuoka
항공사: 제주항공
요일: 금
출발: 06:30
날짜: 2026-05-15",33.5859,130.4507,FUK,Fukuoka,7C1401,20260515,06:30,금,제주항공,2026-05-15 14:39:33
OZ132 (아시아나항공),"인천→Fukuoka
항공사: 아시아나항공
요일: 금
출발: 06:30
날짜: 2026-05-15",33.5859,130.4507,FUK,Fukuoka,OZ132,20260515,06:30,금,아시아나항공,2026-05-15 14:39:33
OZ112 (아시아나항공),"인천→Kansai (Osaka)
항공사: 아시아나항공
요일: 금
출발: 06:55
날짜: 2026-05-15",34.432,135.2304,KIX,Kansai (Osaka),OZ112,20260515,06:55,금,아시아나항공,2026-05-15 14:39:33
EY8448 (에티하드 항공),"인천→Kansai (Osaka)
항공사: 에티하드 항공
요일: 금
출발: 06:55
날짜: 2026-05-15",34.432,135.2304,KIX,Kansai (Osaka),EY8448,20260515,06:55,금,에티하드 항공,2026-05-15 14:39:33
NH6952 (전일본공수),"인천→Kansai (Osaka)
항공사: 전일본공수
요일: 금
출발: 06:55
날짜: 2026-05-15",34.432,135.2304,KIX,Kansai (Osaka),NH6952,20260515,06:55,금,전일본공수,2026-05-15 14:39:33
7C1701 (제주항공),"인천→Matsuyama
항공사: 제주항공
요일: 금
출발: 07:00
날짜: 2026-05-15",33.8272,132.6997,MYJ,Matsuyama,7C1701,20260515,07:00,금,제주항공,2026-05-15 14:39:33
7C1601 (제주항공),"인천→Shizuoka (Mt.Fuji)
항공사: 제주항공
요일: 금
출발: 07:05
날짜: 2026-05-15",34.7961,138.1797,FSZ,Shizuoka (Mt.Fuji),7C1601,20260515,07:05,금,제주항공,2026-05-15 14:39:33
7C1301 (제주항공),"인천→Kansai (Osaka)
항공사: 제주항공
요일: 금
출발: 07:10
날짜: 2026-05-15",34.432,135.2304,KIX,Kansai (Osaka),7C1301,20260515,07:10,금,제주항공,2026-05-15 14:39:33
7C1173 (제주항공),"인천→Narita (Tokyo)
항공사: 제주항공
요일: 금
출발: 07:10
날짜: 2026-05-15",35.7719,140.3929,NRT,Narita (Tokyo),7C1173,20260515,07:10,금,제주항공,2026-05-15 14:39:33
BX164 (에어부산),"인천→Narita (Tokyo)
항공사: 에어부산
요일: 금
출발: 07:10
날짜: 2026-05-15",35.7719,140.3929,NRT,Narita (Tokyo),BX164,20260515,07:10,금,에어부산,2026-05-15 14:39:33
LJ261 (진에어),"인천→Fukuoka
항공사: 진에어
요일: 금
출발: 07:15
날짜: 2026-05-15",33.5859,130.4507,FUK,Fukuoka,LJ261,20260515,07:15,금,진에어,2026-05-15 14:39:33
RS711 (에어서울),"인천→Kansai (Osaka)
항공사: 에어서울
요일: 금
출발: 07:15
날짜: 2026-05-15",34.432,135.2304,KIX,Kansai (Osaka),RS711,20260515,07:15,금,에어서울,2026-05-15 14:39:33
BX156 (에어부산),"인천→Fukuoka
항공사: 에어부산
요일: 금
출발: 07:20
날짜: 2026-05-15",33.5859,130.4507,FUK,Fukuoka,BX156,20260515,07:20,금,에어부산,2026-05-15 14:39:33
OZ9576 (아시아나항공),"인천→Fukuoka
항공사: 아시아나항공
요일: 금
출발: 07:20
날짜: 2026-05-15",33.5859,130.4507,FUK,Fukuoka,OZ9576,20260515,07:20,금,아시아나항공,2026-05-15 14:39:33
ZE605 (이스타항공),"인천→Narita (Tokyo)
항공사: 이스타항공
요일: 금
출발: 07:25
날짜: 2026-05-15",35.7719,140.3929,NRT,Narita (Tokyo),ZE605,20260515,07:25,금,이스타항공,2026-05-15 14:39:33
LJ201 (진에어),"인천→Narita (Tokyo)
항공사: 진에어
요일: 금
출발: 07:25
날짜: 2026-05-15",35.7719,140.3929,NRT,Narita (Tokyo),LJ201,20260515,07:25,금,진에어,2026-05-15 14:39:33
KE5741 (대한항공),"인천→Narita (Tokyo)
항공사: 대한항공
요일: 금
출발: 07:25
날짜: 2026-05-15",35.7719,140.3929,NRT,Narita (Tokyo),KE5741,20260515,07:25,금,대한항공,2026-05-15 14:39:33
MM712 (피치항공),"인천→Kansai (Osaka)
항공사: 피치항공
요일: 금
출발: 07:30
날짜: 2026-05-15",34.432,135.2304,KIX,Kansai (Osaka),MM712,20260515,07:30,금,피치항공,2026-05-15 14:39:33
LJ345 (진에어),"인천→Nagoya (Chubu)
항공사: 진에어
요일: 금
출발: 07:30
날짜: 2026-05-15",34.8584,136.8048,NGO,Nagoya (Chubu),LJ345,20260515,07:30,금,진에어,2026-05-15 14:39:33
KE5079 (대한항공),"인천→Nagoya (Chubu)
항공사: 대한항공
요일: 금
출발: 07:30
날짜: 2026-05-15",34.8584,136.8048,NGO,Nagoya (Chubu),KE5079,20260515,07:30,금,대한항공,2026-05-15 14:39:33
LJ231 (진에어),"인천→Kansai (Osaka)
항공사: 진에어
요일: 금
출발: 07:40
날짜: 2026-05-15",34.432,135.2304,KIX,Kansai (Osaka),LJ231,20260515,07:40,금,진에어,2026-05-15 14:39:33
